,id,name,asins,brand,categories,keys,manufacturer,reviews.date,reviews.dateAdded,reviews.dateSeen,reviews.didPurchase,reviews.doRecommend,reviews.id,reviews.numHelpful,reviews.rating,reviews.sourceURLs,reviews.text,reviews.title,reviews.userCity,reviews.userProvince,reviews.username,numReviews
10849,AVphgVaX1cnluZ0-DR74,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",B018Y229OU,Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Electronics, Tech Toys, Movies, Music,Electronics,iPad & Tablets,Android Tablets,Frys","firetablet7displaywifi8gbincludesspecialoffersmagenta/5025800,841667103105,0841667103105,amazon/b018y229ou,firetablet7displaywifi8gbincludesspecialoffersmagenta/b018y229ou",Amazon,2016-01-29T00:00:00.000Z,2017-05-21T02:27:48Z,"2017-04-30T00:17:00.000Z,2017-06-07T08:13:00.000Z",,True,r10849,0.0,4.0,"http://reviews.bestbuy.com/3545/5025800/reviews.htm?format=embedded&page=907,http://reviews.bestbuy.com/3545/5025800/reviews.htm?format=embedded&page=940",Great gift idea got it for my father for a Christmas gift,Great for anyone new to a tablet,,,Gift,10966
16698,AVqVGWLKnnc1JgDc3jF1,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",B018Y23MNM,Amazon,"Tablets,Fire Tablets,Computers & Tablets,All Tablets","firekidseditiontablet7displaywifi16gbgreenkidproofcase/b018y23mnm,841667103402,0841667103402,firekidseditiontablet7displaywifi16gbgreenkidproofcase/5026300,amazon/b018y23mnm",Amazon,2016-11-02T00:00:00.000Z,2017-06-21T07:38:06Z,"2017-06-04T02:17:21.471Z,2017-06-03T18:41:42.393Z",,True,r16698,1.0,5.0,http://reviews.bestbuy.com/3545/5026300/reviews.htm?format=embedded&page=192,"These kindle tablets are beginning to get pretty cheap. Especially when the other kids tablets are relatively close in pricing. Nothing has gone wrong with this Kindle as of now, and our niece has been enjoying it. A kids account and adult account is made. The kids accounts has access to whatever the adults account allows. This is pretty standard in kids tablets, but this one handles it well. It makes it much easier.",Name brand kids tablet for the price of a cheapie,,,Mark,1685
12948,AVphgVaX1cnluZ0-DR74,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",B018Y229OU,Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Electronics, Tech Toys, Movies, Music,Electronics,iPad & Tablets,Android Tablets,Frys","firetablet7displaywifi8gbincludesspecialoffersmagenta/5025800,841667103105,0841667103105,amazon/b018y229ou,firetablet7displaywifi8gbincludesspecialoffersmagenta/b018y229ou",Amazon,2015-12-29T00:00:00.000Z,2017-05-21T03:28:05Z,"2017-04-30T00:23:00.000Z,2017-06-07T08:19:00.000Z",,True,r12948,0.0,4.0,"http://reviews.bestbuy.com/3545/5025800/reviews.htm?format=embedded&page=1152,http://reviews.bestbuy.com/3545/5025800/reviews.htm?format=embedded&page=1185",Pretty good tablet!! Memory is lacking a little bit but for the price you can't beat it. Also they are not as many apps compared to Apple or Android but again you are paying for a whole lot less for this product compared to Apple and Samsung. If you are used to the Amazon Fire product then you will like this.,Good tablet!,,,locsin1012,10966
6055,AVphgVaX1cnluZ0-DR74,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",B018Y229OU,Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Electronics, Tech Toys, Movies, Music,Electronics,iPad & Tablets,Android Tablets,Frys","firetablet7displaywifi8gbincludesspecialoffersmagenta/5025800,841667103105,0841667103105,amazon/b018y229ou,firetablet7displaywifi8gbincludesspecialoffersmagenta/b018y229ou",Amazon,2016-05-29T00:00:00.000Z,2017-05-21T01:17:01Z,"2017-04-30T00:07:00.000Z,2017-06-07T08:18:00.000Z",,True,r6055,0.0,4.0,"http://reviews.bestbuy.com/3545/5025800/reviews.htm?format=embedded&page=704,http://reviews.bestbuy.com/3545/5025800/reviews.htm?format=embedded&page=738","It is easy to use, economical, and perfect in size for a college student, but isn't good for HD my daughter said.",Great for my daughter's class,,,daandrews,10966
31836,AV1YE_muvKc47QAVgpwE,,B00U3FPN4U,Amazon Fire Tv,"Back To College,College Electronics,College Tvs & Home Theater,Electronics,Tvs & Home Theater,Streaming Devices,Featured Brands,Amazon Devices,Holiday Shop,Ways To Shop,TV & Home Theater,Streaming Media Players,All Streaming Media Players,TVs Entertainment,Video Games,Kindle Store,Electronics Features,Kids & Family,Fire TV","848719057492,amazonfiretv/51454342,amazonfiretv2015modelblack/4370400,amazon/b00u3fpn4u,amazonfiretvstreamingmediaplayer/b00u3fpn4u,0848719057492,firetvstreamingmediaplayer2015model/amftv2,firetv/05740864000p",Amazon,2017-08-11T00:00:00.000Z,2017-09-20T05:35:53Z,"2017-08-25T22:07:45.568Z,2017-08-19T09:37:43.794Z",,True,r31835,0.0,5.0,"http://reviews.bestbuy.com/3545/4370400/reviews.htm?format=embedded&page=20,http://reviews.bestbuy.com/3545/4370400/reviews.htm?format=embedded&page=16",Absolutely incredible ! A way better option then buying cable,Best alternative to cable,,,Nick,5056
10698,AVphgVaX1cnluZ0-DR74,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",B018Y229OU,Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Electronics, Tech Toys, Movies, Music,Electronics,iPad & Tablets,Android Tablets,Frys","firetablet7displaywifi8gbincludesspecialoffersmagenta/5025800,841667103105,0841667103105,amazon/b018y229ou,firetablet7displaywifi8gbincludesspecialoffersmagenta/b018y229ou",Amazon,2016-01-05T00:00:00.000Z,2017-05-21T02:03:18Z,"2017-04-30T00:15:00.000Z,2017-06-07T08:18:00.000Z",,True,r10698,0.0,4.0,"http://reviews.bestbuy.com/3545/5025800/reviews.htm?format=embedded&page=1083,http://reviews.bestbuy.com/3545/5025800/reviews.htm?format=embedded&page=1117",My only concern is that after only having the kindle open and useable is that it tends to freeze up. Otherwise this it is a great tablet to have!,great for travel and simply playing games,,,Ashley,10966
21664,AV1YnR7wglJLPUi8IJmi,"Echo (White),,,
Echo (White),,,",B00TSUGXKE,Amazon,"Electronics Features,Fire Tablets,Computers & Tablets,Tablets,All Tablets,Computers/Tablets & Networking,Tablets & eBook Readers","amazon/b00tsugxke,0848719062854,firetablet7displaywifi8gbincludesspecialoffersblack/b00tsugxke,848719062854,firetablet7displaywifi8gbincludesspecialoffersblack/4390200,firetablet7displaywifi8gbincludesspecialoffersblack/322581680105",Amazon,2017-06-21T00:00:00.000Z,,"2017-08-09T00:00:00Z,2017-07-08T00:00:00Z,2017-08-06T00:00:00Z,2017-08-19T00:00:00Z",,True,r21663,0.0,5.0,"http://reviews.bestbuy.com/3545/4390200/reviews.htm?format=embedded&page=25,http://reviews.bestbuy.com/3545/4390200/reviews.htm?format=embedded&page=9,http://reviews.bestbuy.com/3545/4390200/reviews.htm?format=embedded&page=34","Bought this as a 2nd tablet for my mom gor xmas. Its been well over 6 months, it is still going amazingly well!",Great Product at a Great Price,,,Commonnerd,372
24035,AVpfl8cLLJeJML43AE3S,"Echo (White),,,
Echo (White),,,","B00L9EPT8O,B01E6AO69U",Amazon,"Stereos,Remote Controls,Amazon Echo,Audio Docks & Mini Speakers,Amazon Echo Accessories,Kitchen & Dining Features,Speaker Systems,Electronics,TVs Entertainment,Clearance,Smart Hubs & Wireless Routers,Featured Brands,Wireless Speakers,Smart Home & Connected Living,Home Security,Kindle Store,Home Automation,Home, Garage & Office,Home,Voice-Enabled Smart Assistants,Virtual Assistant Speakers,Portable Audio & Headphones,Electronics Features,Amazon Device Accessories,iPod, Audio Player Accessories,Home & Furniture Clearance,Consumer Electronics,Smart Home,Surveillance,Home Improvement,Smart Home & Home Automation Devices,Smart Hubs,Home Safety & Security,Voice Assistants,Alarms & Sensors,Amazon Devices,Audio,Holiday Shop","echowhite/263039693056,echowhite/152558276095,echowhite/292178880467,echowhite/222588935706,echowhite/253120140398,echowhite/322577436254,echowhite/122597356284,echowhite/132263972952,echowhite/322586415668,echowhite/152626395386,echowhite/272724680159,echowhite/222587602421,echowhite/122474318097,echowhite/5588528,echowhite/112567699636,echowhite/272768463386,echowhite/332175902683,echowhite/311908601694,echowhite/292041139369,echowhite/192239032596,echowhite/272768869474,0841667112862,echowhite/222507973621,echowhite/112391858963,echowhite/291992370210,echowhite/b00l9ept8o,echowhite/112480241614,echowhite/b01e6ao69u,echowhite/322589755316,echowhite/322574315372,echowhite/253051886606,echowhite/382165760287,echowhite/222582493180,echowhite/282581384521,echowhite/112479310908,echowhite/302201691992,echowhite/201761456849,echowhite/amechow2k,echowhite/132262816901,echowhite/282571823011,echowhite/322511136772,841667112862,echowhite/232407174148,echowhite/322441917397,echowhite/amechow,echowhite/332296207643,echowhite/152610914446,echowhite/222578584785,echowhite/162591117080,echowhite/162593787621,echowhite/232407374203,echowhite/162595518416,echowhite/152623638099,amazon/b01e6ao69u",Amazon,2017-08-18T00:00:00.000Z,,"2017-09-28T00:00:00Z,2017-09-08T00:00:00Z,2017-09-12T00:00:00Z,2017-08-31T00:00:00Z",,True,r24034,0.0,5.0,"http://reviews.bestbuy.com/3545/5588528/reviews.htm?format=embedded&page=144,http://reviews.bestbuy.com/3545/5588528/reviews.htm?format=embedded&page=71,http://reviews.bestbuy.com/3545/5588528/reviews.htm?format=embedded&page=76,http://reviews.bestbuy.com/3545/5588528/reviews.htm?format=embedded&page=45","We weren't sure if we needed this, but when it was on sale and we had a $10 reward cert, why not? It looks really sleek. We enjoy having it in the kitchen. We play trivia daily. Other games like ""who wants to be a millionaire "" are also fun. We use pandora daily. Good quality speaker despite our large room. We need to learn how to use it to its full capacity but so far so good!",Good idea,,,TJLJ27,6619
6180,AVphgVaX1cnluZ0-DR74,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",B018Y229OU,Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Electronics, Tech Toys, Movies, Music,Electronics,iPad & Tablets,Android Tablets,Frys","firetablet7displaywifi8gbincludesspecialoffersmagenta/5025800,841667103105,0841667103105,amazon/b018y229ou,firetablet7displaywifi8gbincludesspecialoffersmagenta/b018y229ou",Amazon,2016-05-19T00:00:00.000Z,2017-05-21T01:17:23Z,"2017-04-30T00:07:00.000Z,2017-06-07T08:18:00.000Z",,True,r6180,0.0,4.0,"http://reviews.bestbuy.com/3545/5025800/reviews.htm?format=embedded&page=721,http://reviews.bestbuy.com/3545/5025800/reviews.htm?format=embedded&page=754","This is a great tablet to own if you use AMAZON apps for shopping,reading, videos and so forth. May at times be a little slow but other than that no problems",Great tablet for those who use Amazon apps,,,csaiz76,10966
18568,AV1YnRtnglJLPUi8IJmV,"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,",B00OQVZDJM,Amazon,"Walmart for Business,Office Electronics,Tablets,Office,Electronics,iPad & Tablets,Windows Tablets,All Windows Tablets,Computers & Tablets,E-Readers & Accessories,E-Readers,eBook Readers,Kindle E-readers,Computers/Tablets & Networking,Tablets & eBook Readers,Electronics Features,Books & Magazines,Book Accessories,eReaders,TVs & Electronics,Computers & Laptops,Tablets & eReaders","amazon/b00oqvzdjm,848719056099,amazonkindlepaperwhiteebookreader4gb6monochromepaperwhitetouchscreenwifiblack/263087494445,amazonkindlepaperwhiteebookreader4gb6monochromepaperwhitetouchscreenwifiblack/9439005,amazonkindlepaperwhiteebookreader4gb6monochromepaperwhitetouchscreenwifiblack/b00oqvzdjm,0848719056099,amazonkindlepaperwhiteebookreader4gb6monochromepaperwhitetouchscreenwifiblack/00355266000p",Amazon,2016-04-29T00:00:00.000Z,2017-09-05T22:09:30Z,"2017-08-31T22:33:40.961Z,2017-08-02T19:52:13.739Z,2017-08-02T22:15:32.543Z",,True,r18567,0.0,5.0,"http://reviews.bestbuy.com/3545/9439005/reviews.htm?format=embedded&page=268,http://reviews.bestbuy.com/3545/9439005/reviews.htm?format=embedded&page=253",Back lighting bothers my eyes so I like that you can turn it off,Great reader,,,Maxi,3176
