,id,name,asins,brand,categories,keys,manufacturer,reviews.date,reviews.dateAdded,reviews.dateSeen,reviews.didPurchase,reviews.doRecommend,reviews.id,reviews.numHelpful,reviews.rating,reviews.sourceURLs,reviews.text,reviews.title,reviews.userCity,reviews.userProvince,reviews.username,numReviews,Sentiment_Score
33042,AV1YE_muvKc47QAVgpwE,,B00U3FPN4U,Amazon Fire Tv,"Back To College,College Electronics,College Tvs & Home Theater,Electronics,Tvs & Home Theater,Streaming Devices,Featured Brands,Amazon Devices,Holiday Shop,Ways To Shop,TV & Home Theater,Streaming Media Players,All Streaming Media Players,TVs Entertainment,Video Games,Kindle Store,Electronics Features,Kids & Family,Fire TV","848719057492,amazonfiretv/51454342,amazonfiretv2015modelblack/4370400,amazon/b00u3fpn4u,amazonfiretvstreamingmediaplayer/b00u3fpn4u,0848719057492,firetvstreamingmediaplayer2015model/amftv2,firetv/05740864000p",Amazon,2016-10-14T00:00:00.000Z,2017-09-20T05:35:53Z,"2017-08-25T22:05:01.460Z,2017-08-19T09:35:33.843Z,2017-08-08T17:30:27.193Z,2017-08-06T13:29:50.390Z",,True,r33041,0.0,5.0,"http://reviews.bestbuy.com/3545/4370400/reviews.htm?format=embedded&page=362,http://reviews.bestbuy.com/3545/4370400/reviews.htm?format=embedded&page=358,http://reviews.bestbuy.com/3545/4370400/reviews.htm?format=embedded&page=340,http://reviews.bestbuy.com/3545/4370400/reviews.htm?format=embedded&page=339",much better than the stick...do not i repeat do not waste your time or money on the stick...go directly to the fire tv,"With Amazon Fire TV, you can access thousands of m",,,honeybears5758,5056,4
26152,AVpfl8cLLJeJML43AE3S,"Amazon Fire Tv,,,
Amazon Fire Tv,,,","B00L9EPT8O,B01E6AO69U",Amazon,"Stereos,Remote Controls,Amazon Echo,Audio Docks & Mini Speakers,Amazon Echo Accessories,Kitchen & Dining Features,Speaker Systems,Electronics,TVs Entertainment,Clearance,Smart Hubs & Wireless Routers,Featured Brands,Wireless Speakers,Smart Home & Connected Living,Home Security,Kindle Store,Home Automation,Home, Garage & Office,Home,Voice-Enabled Smart Assistants,Virtual Assistant Speakers,Portable Audio & Headphones,Electronics Features,Amazon Device Accessories,iPod, Audio Player Accessories,Home & Furniture Clearance,Consumer Electronics,Smart Home,Surveillance,Home Improvement,Smart Home & Home Automation Devices,Smart Hubs,Home Safety & Security,Voice Assistants,Alarms & Sensors,Amazon Devices,Audio,Holiday Shop","echowhite/263039693056,echowhite/152558276095,echowhite/292178880467,echowhite/222588935706,echowhite/253120140398,echowhite/322577436254,echowhite/122597356284,echowhite/132263972952,echowhite/322586415668,echowhite/152626395386,echowhite/272724680159,echowhite/222587602421,echowhite/122474318097,echowhite/5588528,echowhite/112567699636,echowhite/272768463386,echowhite/332175902683,echowhite/311908601694,echowhite/292041139369,echowhite/192239032596,echowhite/272768869474,0841667112862,echowhite/222507973621,echowhite/112391858963,echowhite/291992370210,echowhite/b00l9ept8o,echowhite/112480241614,echowhite/b01e6ao69u,echowhite/322589755316,echowhite/322574315372,echowhite/253051886606,echowhite/382165760287,echowhite/222582493180,echowhite/282581384521,echowhite/112479310908,echowhite/302201691992,echowhite/201761456849,echowhite/amechow2k,echowhite/132262816901,echowhite/282571823011,echowhite/322511136772,841667112862,echowhite/232407174148,echowhite/322441917397,echowhite/amechow,echowhite/332296207643,echowhite/152610914446,echowhite/222578584785,echowhite/162591117080,echowhite/162593787621,echowhite/232407374203,echowhite/162595518416,echowhite/152623638099,amazon/b01e6ao69u",Amazon,2017-03-10T00:00:00.000Z,,"2017-09-28T00:00:00Z,2017-09-08T00:00:00Z,2017-09-12T00:00:00Z,2017-08-31T00:00:00Z,2017-08-08T00:00:00Z,2017-08-15T00:00:00Z,2017-08-01T00:00:00Z",,True,r26151,0.0,4.0,"http://reviews.bestbuy.com/3545/5588528/reviews.htm?format=embedded&page=371,http://reviews.bestbuy.com/3545/5588528/reviews.htm?format=embedded&page=297,http://reviews.bestbuy.com/3545/5588528/reviews.htm?format=embedded&page=302,http://reviews.bestbuy.com/3545/5588528/reviews.htm?format=embedded&page=271,http://reviews.bestbuy.com/3545/5588528/reviews.htm?format=embedded&page=204,http://reviews.bestbuy.com/3545/5588528/reviews.htm?format=embedded&page=211,http://reviews.bestbuy.com/3545/5588528/reviews.htm?format=embedded&page=196",It's a good buy compared to google home Over all I'm happy I bought this,Good buy,,,Amit,6619,4
28287,AVpfl8cLLJeJML43AE3S,,"B00L9EPT8O,B01E6AO69U",Amazon,"Stereos,Remote Controls,Amazon Echo,Audio Docks & Mini Speakers,Amazon Echo Accessories,Kitchen & Dining Features,Speaker Systems,Electronics,TVs Entertainment,Clearance,Smart Hubs & Wireless Routers,Featured Brands,Wireless Speakers,Smart Home & Connected Living,Home Security,Kindle Store,Home Automation,Home, Garage & Office,Home,Voice-Enabled Smart Assistants,Virtual Assistant Speakers,Portable Audio & Headphones,Electronics Features,Amazon Device Accessories,iPod, Audio Player Accessories,Home & Furniture Clearance,Consumer Electronics,Smart Home,Surveillance,Home Improvement,Smart Home & Home Automation Devices,Smart Hubs,Home Safety & Security,Voice Assistants,Alarms & Sensors,Amazon Devices,Audio,Holiday Shop","echowhite/263039693056,echowhite/152558276095,echowhite/292178880467,echowhite/222588935706,echowhite/253120140398,echowhite/322577436254,echowhite/122597356284,echowhite/132263972952,echowhite/322586415668,echowhite/152626395386,echowhite/272724680159,echowhite/222587602421,echowhite/122474318097,echowhite/5588528,echowhite/112567699636,echowhite/272768463386,echowhite/332175902683,echowhite/311908601694,echowhite/292041139369,echowhite/192239032596,echowhite/272768869474,0841667112862,echowhite/222507973621,echowhite/112391858963,echowhite/291992370210,echowhite/b00l9ept8o,echowhite/112480241614,echowhite/b01e6ao69u,echowhite/322589755316,echowhite/322574315372,echowhite/253051886606,echowhite/382165760287,echowhite/222582493180,echowhite/282581384521,echowhite/112479310908,echowhite/302201691992,echowhite/201761456849,echowhite/amechow2k,echowhite/132262816901,echowhite/282571823011,echowhite/322511136772,841667112862,echowhite/232407174148,echowhite/322441917397,echowhite/amechow,echowhite/332296207643,echowhite/152610914446,echowhite/222578584785,echowhite/162591117080,echowhite/162593787621,echowhite/232407374203,echowhite/162595518416,echowhite/152623638099,amazon/b01e6ao69u",Amazon,2016-09-30T00:00:00.000Z,,"2017-09-28T00:00:00Z,2017-09-08T00:00:00Z,2017-09-12T00:00:00Z,2017-08-31T00:00:00Z,2017-08-08T00:00:00Z,2017-08-15T00:00:00Z,2017-08-01T00:00:00Z",,False,r28286,2.0,4.0,"http://reviews.bestbuy.com/3545/5588528/reviews.htm?format=embedded&page=707,http://reviews.bestbuy.com/3545/5588528/reviews.htm?format=embedded&page=634,http://reviews.bestbuy.com/3545/5588528/reviews.htm?format=embedded&page=638,http://reviews.bestbuy.com/3545/5588528/reviews.htm?format=embedded&page=608,http://reviews.bestbuy.com/3545/5588528/reviews.htm?format=embedded&page=540,http://reviews.bestbuy.com/3545/5588528/reviews.htm?format=embedded&page=547,http://reviews.bestbuy.com/3545/5588528/reviews.htm?format=embedded&page=532","The echo works well, has good sound and is an interesting concept. Where it falls short is in the quality of the search results. It often responds that it doesn't understand the question or does not have information about what is asked. I have returned and will purchase the Google home system when it is released.",Good not great,,,Softkitty,6619,2
16460,AVqVGWLKnnc1JgDc3jF1,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",B018Y23MNM,Amazon,"Tablets,Fire Tablets,Computers & Tablets,All Tablets","firekidseditiontablet7displaywifi16gbgreenkidproofcase/b018y23mnm,841667103402,0841667103402,firekidseditiontablet7displaywifi16gbgreenkidproofcase/5026300,amazon/b018y23mnm",Amazon,2016-12-18T00:00:00.000Z,2017-06-21T07:37:57Z,"2017-06-04T02:17:04.441Z,2017-06-03T18:41:29.398Z",,True,r16460,0.0,5.0,http://reviews.bestbuy.com/3545/5026300/reviews.htm?format=embedded&page=163,It was a gift and she really loved it. It was an in-store service clerk that educated me on this product..,good,,,CeeCee,1685,4
14049,AVphgVaX1cnluZ0-DR74,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",B018Y229OU,Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Electronics, Tech Toys, Movies, Music,Electronics,iPad & Tablets,Android Tablets,Frys","firetablet7displaywifi8gbincludesspecialoffersmagenta/5025800,841667103105,0841667103105,amazon/b018y229ou,firetablet7displaywifi8gbincludesspecialoffersmagenta/b018y229ou",Amazon,2015-12-18T00:00:00.000Z,2017-05-21T04:00:23Z,"2017-04-30T00:25:00.000Z,2017-06-07T08:11:00.000Z",,True,r14049,0.0,5.0,"http://reviews.bestbuy.com/3545/5025800/reviews.htm?format=embedded&page=1244,http://reviews.bestbuy.com/3545/5025800/reviews.htm?format=embedded&page=1277",This tablet has all apps needed for anyone. only one things not working with this tablet - this is some apps GPS.,Vry helpful foe anyone,,,aspekt,10966,0
8741,AVphgVaX1cnluZ0-DR74,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",B018Y229OU,Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Electronics, Tech Toys, Movies, Music,Electronics,iPad & Tablets,Android Tablets,Frys","firetablet7displaywifi8gbincludesspecialoffersmagenta/5025800,841667103105,0841667103105,amazon/b018y229ou,firetablet7displaywifi8gbincludesspecialoffersmagenta/b018y229ou",Amazon,2017-01-16T00:00:00.000Z,2017-05-21T01:34:35Z,"2017-04-30T00:11:00.000Z,2017-06-07T08:12:00.000Z",,True,r8741,0.0,5.0,"http://reviews.bestbuy.com/3545/5025800/reviews.htm?format=embedded&page=204,http://reviews.bestbuy.com/3545/5025800/reviews.htm?format=embedded&page=237",It was for my 3 year old she loves it!! She was able to work it very easily!!,Great tablet,,,Cece25,10966,4
30704,AV1YE_muvKc47QAVgpwE,,B00U3FPN4U,Amazon Fire Tv,"Back To College,College Electronics,College Tvs & Home Theater,Electronics,Tvs & Home Theater,Streaming Devices,Featured Brands,Amazon Devices,Holiday Shop,Ways To Shop,TV & Home Theater,Streaming Media Players,All Streaming Media Players,TVs Entertainment,Video Games,Kindle Store,Electronics Features,Kids & Family,Fire TV","848719057492,amazonfiretv/51454342,amazonfiretv2015modelblack/4370400,amazon/b00u3fpn4u,amazonfiretvstreamingmediaplayer/b00u3fpn4u,0848719057492,firetvstreamingmediaplayer2015model/amftv2,firetv/05740864000p",Amazon,2016-12-30T00:00:00.000Z,2017-09-20T05:35:56Z,"2017-08-25T22:21:49.416Z,2017-08-19T09:26:51.570Z,2017-08-08T17:26:00.801Z,2017-08-06T13:33:31.113Z",,True,r30703,0.0,5.0,"http://reviews.bestbuy.com/3545/4370400/reviews.htm?format=embedded&page=263,http://reviews.bestbuy.com/3545/4370400/reviews.htm?format=embedded&page=258,http://reviews.bestbuy.com/3545/4370400/reviews.htm?format=embedded&page=241,http://reviews.bestbuy.com/3545/4370400/reviews.htm?format=embedded&page=239",is a very good box work very good with wifi with movie tv show and a lot more with family tonight.,Fire Tv,,,Javi,5056,4
8376,AVphgVaX1cnluZ0-DR74,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",B018Y229OU,Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Electronics, Tech Toys, Movies, Music,Electronics,iPad & Tablets,Android Tablets,Frys","firetablet7displaywifi8gbincludesspecialoffersmagenta/5025800,841667103105,0841667103105,amazon/b018y229ou,firetablet7displaywifi8gbincludesspecialoffersmagenta/b018y229ou",Amazon,2017-03-16T00:00:00.000Z,2017-05-21T01:28:04Z,"2017-04-30T00:10:00.000Z,2017-06-07T08:15:00.000Z",,True,r8376,0.0,5.0,"http://reviews.bestbuy.com/3545/5025800/reviews.htm?format=embedded&page=42,http://reviews.bestbuy.com/3545/5025800/reviews.htm?format=embedded&page=76","So here was my dilemma, I could buy a cheap tablet from a no name manufacturer and suffer lag time, battery problems, software problems and all the things the bad reviews said or I could buy(on sale) an Amazon Fire Tablet and get a great screen, great battery life, Alexa, wifi, access to my Amazon Prime goodies and an easy to us OS..hmmmm, which way should I go? Needless to say, thrilled with my Fire tablet, use it all the time and wondering why anyone needs to spend more when this thing does so much for so little.",How could I go wrong?,,,Thomas,10966,0
26419,AVpfl8cLLJeJML43AE3S,"Amazon Fire Tv,,,
Amazon Fire Tv,,,","B00L9EPT8O,B01E6AO69U",Amazon,"Stereos,Remote Controls,Amazon Echo,Audio Docks & Mini Speakers,Amazon Echo Accessories,Kitchen & Dining Features,Speaker Systems,Electronics,TVs Entertainment,Clearance,Smart Hubs & Wireless Routers,Featured Brands,Wireless Speakers,Smart Home & Connected Living,Home Security,Kindle Store,Home Automation,Home, Garage & Office,Home,Voice-Enabled Smart Assistants,Virtual Assistant Speakers,Portable Audio & Headphones,Electronics Features,Amazon Device Accessories,iPod, Audio Player Accessories,Home & Furniture Clearance,Consumer Electronics,Smart Home,Surveillance,Home Improvement,Smart Home & Home Automation Devices,Smart Hubs,Home Safety & Security,Voice Assistants,Alarms & Sensors,Amazon Devices,Audio,Holiday Shop","echowhite/263039693056,echowhite/152558276095,echowhite/292178880467,echowhite/222588935706,echowhite/253120140398,echowhite/322577436254,echowhite/122597356284,echowhite/132263972952,echowhite/322586415668,echowhite/152626395386,echowhite/272724680159,echowhite/222587602421,echowhite/122474318097,echowhite/5588528,echowhite/112567699636,echowhite/272768463386,echowhite/332175902683,echowhite/311908601694,echowhite/292041139369,echowhite/192239032596,echowhite/272768869474,0841667112862,echowhite/222507973621,echowhite/112391858963,echowhite/291992370210,echowhite/b00l9ept8o,echowhite/112480241614,echowhite/b01e6ao69u,echowhite/322589755316,echowhite/322574315372,echowhite/253051886606,echowhite/382165760287,echowhite/222582493180,echowhite/282581384521,echowhite/112479310908,echowhite/302201691992,echowhite/201761456849,echowhite/amechow2k,echowhite/132262816901,echowhite/282571823011,echowhite/322511136772,841667112862,echowhite/232407174148,echowhite/322441917397,echowhite/amechow,echowhite/332296207643,echowhite/152610914446,echowhite/222578584785,echowhite/162591117080,echowhite/162593787621,echowhite/232407374203,echowhite/162595518416,echowhite/152623638099,amazon/b01e6ao69u",Amazon,2017-03-25T00:00:00.000Z,,"2017-09-28T00:00:00Z,2017-09-08T00:00:00Z,2017-09-12T00:00:00Z,2017-08-31T00:00:00Z,2017-08-08T00:00:00Z,2017-08-15T00:00:00Z,2017-08-01T00:00:00Z",,False,r26418,0.0,3.0,"http://reviews.bestbuy.com/3545/5588528/reviews.htm?format=embedded&page=343,http://reviews.bestbuy.com/3545/5588528/reviews.htm?format=embedded&page=270,http://reviews.bestbuy.com/3545/5588528/reviews.htm?format=embedded&page=275,http://reviews.bestbuy.com/3545/5588528/reviews.htm?format=embedded&page=244,http://reviews.bestbuy.com/3545/5588528/reviews.htm?format=embedded&page=176,http://reviews.bestbuy.com/3545/5588528/reviews.htm?format=embedded&page=183,http://reviews.bestbuy.com/3545/5588528/reviews.htm?format=embedded&page=169",It's ok but not sure it's worth it chance of misorder,Ok,,,TheSiater,6619,2
11651,AVphgVaX1cnluZ0-DR74,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",B018Y229OU,Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Electronics, Tech Toys, Movies, Music,Electronics,iPad & Tablets,Android Tablets,Frys","firetablet7displaywifi8gbincludesspecialoffersmagenta/5025800,841667103105,0841667103105,amazon/b018y229ou,firetablet7displaywifi8gbincludesspecialoffersmagenta/b018y229ou",Amazon,2016-07-05T00:00:00.000Z,2017-05-21T02:58:01Z,"2017-04-30T00:20:00.000Z,2017-06-07T08:18:00.000Z",,True,r11651,0.0,5.0,"http://reviews.bestbuy.com/3545/5025800/reviews.htm?format=embedded&page=639,http://reviews.bestbuy.com/3545/5025800/reviews.htm?format=embedded&page=672","OK, let's face it. Kindles are not the fastest nor do they come with a quad core processor. But they are great for simple reading and light web browsing. But for 39.99 on sale it was a steal. Thanks Best Buy!",Can't beat the price,,,Scott,10966,2
